"CALL #(ITEM)","TOT CHKOUT","INTL USE "
"PG5069.N68 D43 2007","0","0"
"BX5125 .W37 2007","1","0"
"PJ7852.A357 Z7945 2005","0","0"
"DT72.C7 .M24 2007","0","0"
"BP194 .D563 2005","2","0"
"BP172 .A383 2006","1","0"
"PT2681.P33 A6 2007","1","0"
"DS407 .B47 2003","0","0"
"DS407 .B47 2003","0","0"
"PK2098.32.U88 A73 2006","0","0"
"PR9499.4.A25 S87 2006","0","0"
"B131 .N93 2006","0","0"
"D639.M82 G455 2008","0","0"
"PN147 .G444 2008","13","2"
"PA3879 .K58","0","0"
"DD247.S342 S73 2007","0","0"
"DT549.77.S46 B68 2006","2","0"
"DT19.7.D56 C65 2006","0","0"
"PT2662.R34 .M58 2007","0","0"
"PR6120.H669 B37 2007","0","1"
"DS119.7 .P688 2007","5","0"
"GN655.S3 K53 2005","1","0"
"DT545.84 .T68 2005","0","0"
"DT545.84 .B58 2005","0","0"
"DT545.84 .D78 2006","1","0"
"GV181.55 .K44 2007","4","0"
"PN1993.5.E19 E27 2008","5","0"
"PR9619.3.W553 O376 2007","1","0"
"RC533 .M38 2008","15","3"
"PG3021 .S545 2006","0","0"
"PG7158.Z42 C937 2007","0","0"
"BP161.2 .I8827 2008","5","1"
"E467.1.K22 K38 2008","4","0"
"E176.49 .A33 2008","2","0"
"B2433.M453 A6713 2008","15","1"
"PQ2603.A695 Z89 2008","3","0"
"E98.S7 F59 2008","16","3"
"CC72.4 .J69 2008","8","4"
"PG3485.E724 Z73 2006","1","0"
"PT2613.R338 B55315 2008","3","0"
"PS1541.Z5 W53 2008","8","2"
"E457.5 .L33 2008","3","0"
"PN511 .M36 2008","0","0"
"RC451.4.G39 P557 2006","2","1"
"PR6031.E183 A6 2007","3","0"
"PS3622.A68 B76 2008","7","0"
"PN1993.5.U6 B294 2008","1","4"
"BV665 .B46 2008","5","0"
"BV600.3 .C36 2008","0","0"
"DS135.C5 E2413 2008","0","0"
"PR6101.G36 C47 2007","0","2"
"BT75.3 .H54 2008","1","1"
"PT2684.E48 N3413 2008","0","0"
"PS3612.I517 C64 2008","14","3"
"E661 .P33 2008","8","2"
"GV713 .I47 2007","2","0"
"D767.25.N3 R58 2007","19","1"
"PJ2531.K53 1903a","2","1"
"D760.P73 H37 2007","0","0"
"DS564 .M8513 2008","2","0"
"DD247.H42 M33 2007","5","0"
"JX1393.C65 Z24 2005","2","0"
"PT9733 .B4713 2007","1","0"
"PQ2633.U43 M613 2007","0","0"
"BT80 .W35 2007","0","0"
"PR6123.O523 E44 2007","2","1"
"HV1568.4 .M35 2008","1","0"
"PN2287.D324 K38 2008","0","0"
"HT725.J3 G67 2008","2","1"
"HB139 .V465 2008","22","1"
"KF9375 .Y33 2008","2","1"
"D786 .G85 2007","1","0"
"E184.V53 P4554 2008","5","1"
"PQ7798.29.C5315 E65 2007","1","0"
"PS217.I49 S66 2008","0","0"
"PR6005.H66 Z98 2008","2","1"
"PR4588 .C636 2008","5","4"
"PQ3980.5 .W44 2008","3","2"
"BM538.P68 R53 2008","0","0"
"PJ4740 .J83 2008","0","1"
"PR9393 .K66 2008","1","0"
"P126 .C49 2008","1","0"
"PA85.S7 S74 2007","0","0"
"P302.15.P7 N54 2007","0","0"
"BP605.W53 W57 2008","3","0"
"BX597.P52 A3 2007","0","0"
"G700 1912 .A44 2007","0","0"
"PN2287.B88 S73 2008","2","0"
"PN1995.9.W4 V37 2008","1","0"
"E185.615 .D36 2008","0","0"
"D825 .L34 2008","6","0"
"E176.1 .F43 2008","2","1"
"D727 .L37 2008","1","1"
"P95.82.U6 S338 2008","0","0"
"DS449 .P36 2008","1","0"
"PN1998.3.W56 G47 2008","4","1"
"PR3622 .F866 2008","0","0"
"JC495 .D58 2006","2","0"
"G116 .B66 2008","1","0"
"GV885.515.W66 T47 2008","3","0"
"VM17 .W45 2007","7","2"
"HV6771.R8 G68 2007","0","0"
"VA573 .G74 2007","1","0"
"DS686.614 .M45 2006","1","0"
"PJ7962.H833 R86 2007","1","0"
"BT1405 .Q27 2003","0","0"
"DS63.2.U5 R54 2004","0","0"
"DK572.A34 S658 2007","1","0"
"PJ7832.A95 N39 2007","0","0"
"KBP540.32.S43 A34 2005","1","0"
"DT549.83.W33 N53 2006","0","0"
"BX107 .N87 2007","0","0"
"G530.M5 D37 2005","1","0"
"PL333.5 .B39 2008","0","0"
"BP80.S2735 I26 2004","0","0"
"CB251 .J38 2006","1","0"
"PG3104.8.P75 P47 2001","1","0"
"PG3104.8.P75 P47 1998","1","0"
"D804.3 .S3313 2006","0","0"
"DK756.2 .W65 2007","0","0"
"PQ2105.A2 S8 2008, no. 5","0","0"
"DS799.844 .S66 2007","0","0"
"CS859 .B464 2006","1","0"
"PG3481.6.U678 A22 2006","0","0"
"PG3016 .V737 2006","1","0"
"Z1035.8.C5 Y68 2007","0","0"
"D117 .B143 2006","1","0"
"DK4035 .R45 2007","0","0"
"PN2876.S5 H8 2007","1","0"
"ND1047.S5 W366 2007","0","0"
"DK511.Y2 D88 2006","1","0"
"GV838.C69 A2 2008","2","0"
"BP567 .M55 2008","2","0"
"PL2952.E55 X5 2006","3","0"
"BT160 .H84 2007","5","3"
"BX9427 .B67 2008","3","1"
"PS3551.D3 A6 2007","1","0"
"PL2272.5 .F465 2007","1","0"
"PQ8097.N4 M313 2008","6","0"
"E179.5 .N84 2008","5","1"
"PL2519.F6 J58 2006","0","0"
"PQ673 .S24 2008","1","0"
"PQ7798.13.O75 Z65 2008","0","0"
"PN1590.W64 C37 2008","4","0"
"R602 .F87125 2006","1","2"
"PN1995.9.F42 R45 2008","1","1"
"DD240 .B3389 2008","2","0"
"BX494.M27 B37 2006","0","0"
"DS773 .L82 2007","2","0"
"PN1998.3.H68 Z45 2006","4","1"
"PL2946.S43 H66 2004","1","0"
"PL2855.O667 N5 2005","0","0"
"DA20 .R914 v. 31","0","0"
"PR6058.A59286 M57 2008","1","0"
"BV4509.5 .W55 2008","11","0"
"P99 .D36 2008","4","1"
"PN683 .B55 2008","5","0"
"E533.5 9th .Z45 2008","1","0"
"E176.1 .T785 2008","1","0"
"HQ250.S52 H4712 2003","3","2"
"PS3568.O3152 C67 2008","4","0"
"PL2852.T47 C35 2005","4","0"
"PL2833.A68 Y428 2007","1","1"
"CT1098.K64 A3 2006","0","0"
"PL1279 .D56 2007","0","0"
"PR4969 .L55 2008","0","1"
"PQ3989.S46 Z66 2007","1","1"
